Rank,College Name,Undergraduate Tuition & Fees($),Graduate Tuition & Fees($),SAT Score,Acceptance Rate,Population,Graduation Rate,Student:Faculty Ratio
149,"Indiana University of Pennsylvania-Main CampusIndiana, PA",16297,18261,1050,0.91,9246,0.52,22.00
150,"Montana State UniversityBozeman, MT",31337,24863,1160,0.87,16960,0.57,18.00
151,"Clark UniversityWorcester, MA",55160,48590,1320,0.42,4124,0.77,9.00
152,"University of Louisiana at MonroeMonroe, LA",21290,21500,1210,0.75,8272,0.51,16.00
153,"Regent UniversityVirginia Beach, VA",20686,17828,1160,0.41,10168,0.54,20.00
154,"University at BuffaloBuffalo, NY",30572,27338,1290,0.69,31889,0.73,11.00
155,"Eastern Michigan UniversityYpsilanti, MI",16260,30072,1040,0.81,13324,0.45,15.00
156,"Iowa State UniversityAmes, IA",27683,29303,1240,0.89,30177,0.75,18.00
157,"Wright State University-Main CampusDayton, OH",20032,24714,1040,0.95,9884,0.46,15.00
158,"Central Michigan UniversityMount Pleasant, MI",14312,16293,1090,0.91,14399,0.62,16.00
159,"Ball State UniversityMuncie, IN",28766,29196,1160,0.72,20440,0.63,15.00
160,"University of St ThomasSaint Paul, MN",52284,21992,1350,0.85,9121,0.75,13.00
161,"Texas Woman's UniversityDenton, TX",18720,15450,-,0.95,15664,0.44,17.00
162,"Adelphi UniversityGarden City, NY",47290,48075,1210,0.78,7406,0.69,12.00
163,"University of South AlabamaMobile, AL",18652,17680,1100,0.65,13768,0.53,18.00
164,"The University of MontanaMissoula, MT",31622,35314,-,0.96,10327,0.45,18.00
165,"University of South FloridaTampa, FL",17324,21126,1230,0.41,48572,0.75,22.00
166,"University of HartfordWest Hartford, CT",47647,15665,1200,0.83,5913,0.58,11.00
167,"Maryville University of Saint LouisSaint Louis, MO",27166,15766,-,0.94,9883,0.72,13.00
168,"University of South Carolina-ColumbiaColumbia, SC",34943,30160,1270,0.61,36579,0.78,18.00
169,"Oklahoma State University-Main CampusStillwater, OK",25630,24595,1130,0.71,26043,0.66,18.00
170,"Washington State UniversityPullman, WA",29073,29567,-,0.85,26490,0.62,15.00
171,"University of Nevada-Las VegasLas Vegas, NV",26099,23933,1100,0.96,31094,0.5,18.00
172,"Georgia Southern UniversityStatesboro, GA",16959,21424,1060,0.9,26041,0.52,24.00
173,"New Mexico State University-Main CampusLas Cruces, NM",25271,19421,990,0.76,14779,0.52,15.00
